playerID, Last_Name,  First_Name, BH, TH, teamID, Position
salec001,Sale,Chris,L,L,CHA,P
samaj001,Samardzija,Jeff,R,R,CHA,P
sancc001,Sanchez,Carlos,B,R,CHA,SS
shucj001,Shuck,J.B.,L,L,CHA,OF
sotog001,Soto,Geovany,R,R,CHA,C
thomt002,Thompson,Trayce,R,R,CHA,OF
webbd001,Webb,Daniel,R,R,CHA,P
alcaa001,Alcantara,Arismendy,B,R,CHN,2B
arrij001,Arrieta,Jake,R,R,CHN,P
baezj001,Baez,Javier,R,R,CHN,SS
baxtm001,Baxter,Mike,L,R,CHN,OF
beeld001,Beeler,Dallas,R,R,CHN,P
berrq001,Berry,Quintin,L,L,CHN,OF
bryak001,Bryant,Kris,R,R,CHN,3B
cahit001,Cahill,Trevor,R,R,CHN,P
casts001,Castro,Starlin,R,R,CHN,SS
castw002,Castillo,Welington,R,R,CHN,C
coghc001,Coghlan,Chris,L,R,CHN,OF
cokep001,Coke,Phil,L,L,CHN,P
denoc001,Denorfia,Chris,R,R,CHN,OF
edwac001,Edwards,Carl,R,R,CHN,P
fowld001,Fowler,Dexter,B,R,CHN,OF
germg001,Germen,Gonzalez,R,R,CHN,P
grimj002,Grimm,Justin,R,R,CHN,P
hammj002,Hammel,Jason,R,R,CHN,P
hared001,Haren,Dan,R,R,CHN,P
hendk001,Hendricks,Kyle,R,R,CHN,P
herrj002,Herrera,Jonathan,B,R,CHN,2B
huntt002,Hunter,Tommy,R,R,CHN,P
jacka001,Jackson,Austin,R,R,CHN,OF
jacke001,Jackson,Edwin,R,R,CHN,P
lakej001,Lake,Junior,R,R,CHN,3B
lastt001,La Stella,Tommy,L,R,CHN,2B
lestj001,Lester,Jon,L,L,CHN,P
mediy001,Medina,Yoervis,R,R,CHN,P
montm001,Montero,Miguel,L,R,CHN,C
mottj001,Motte,Jason,R,R,CHN,P
olt-m001,Olt,Mike,R,R,CHN,3B
ramin001,Ramirez,Neil,R,R,CHN,P
richc002,Richard,Clayton,L,L,CHN,P
rizza001,Rizzo,Anthony,L,L,CHN,1B
roacd001,Roach,Donn,R,R,CHN,P
rodnf001,Rodney,Fernando,R,R,CHN,P
rondh001,Rondon,Hector,R,R,CHN,P
rossd001,Ross,David,R,R,CHN,C
rossz001,Rosscup,Zac,R,L,CHN,P
russa002,Russell,Addison,R,R,CHN,2B
russj003,Russell,James,L,L,CHN,P
schlb001,Schlitter,Brian,R,R,CHN,P
schwk001,Schwarber,Kyle,L,R,CHN,C
solej001,Soler,Jorge,R,R,CHN,OF
sorir001,Soriano,Rafael,R,R,CHN,P
strop001,Strop,Pedro,R,R,CHN,P
szczm001,Szczur,Matt,R,R,CHN,OF
teagt001,Teagarden,Taylor,R,R,CHN,C
wadat001,Wada,Tsuyoshi,L,L,CHN,P
woodt004,Wood,Travis,R,L,CHN,P
adcon001,Adcock,Nathan,R,R,CIN,P
axeld001,Axelrod,Dylan,R,R,CIN,P
badeb001,Badenhop,Burke,R,R,CIN,P
balec001,Balester,Collin,R,R,CIN,P
barnt001,Barnhart,Tucker,B,R,CIN,C
bailh001,Bailey,Homer,R,R,CIN,P
boesb001,Boesch,Brennan,L,L,CIN,OF
bourj001,Bourgeois,Jason,R,R,CIN,2B
brucj001,Bruce,Jay,L,L,CIN,OF
byrdm001,Byrd,Marlon,R,R,CIN,OF
cabrr001,Cabrera,Ramon,B,R,CIN,C
chapa001,Chapman,Aroldis,L,L,CIN,P
cingt001,Cingrani,Tony,L,L,CIN,P
contc001,Contreras,Carlos,R,R,CIN,P
cozaz001,Cozart,Zack,R,R,CIN,SS
cuetj001,Cueto,Johnny,R,R,CIN,P
dejei002,De Jesus,Ivan,R,R,CIN,SS
desca001,DeSclafani,Anthony,R,R,CIN,P
diazj005,Diaz,Jumbo,R,R,CIN,P
domic001,Dominguez,Chris,R,R,CIN,OF
duvaa001,Duvall,Adam,R,R,CIN,3B
finnb001,Finnegan,Brandon,L,L,CIN,P
frazt001,Frazier,Todd,R,R,CIN,OF
gregk001,Gregg,Kevin,R,R,CIN,P
hamib001,Hamilton,Billy,B,R,CIN,OF
handd001,Hand,Donovan,R,R,CIN,P
holmd002,Holmberg,David,R,L,CIN,P
holtt001,Holt,Tyler,R,R,CIN,OF
hoovj002,Hoover,J.J.,R,R,CIN,P
igler001,Iglesias,Raisel,R,R,CIN,P
lamar001,LaMarre,Ryan,R,L,CIN,OF
lambj002,Lamb,John,L,L,CIN,P
leakm001,Leake,Mike,R,R,CIN,P
lecus001,LeCure,Sam,R,R,CIN,P
lorem002,Lorenzen,Michael,R,R,CIN,P
marqj001,Marquis,Jason,L,R,CIN,P
mattr001,Mattheus,Ryan,R,R,CIN,P
mesod001,Mesoraco,Devin,R,R,CIN,C
moscj001,Moscot,Jon,R,R,CIN,P
negrk001,Negron,Kristopher,R,R,CIN,SS
parrm001,Parra,Manny,L,L,CIN,P
penab002,Pena,Brayan,B,R,CIN,C
philb001,Phillips,Brandon,R,R,CIN,SS
sampk001,Sampson,Keyvius,R,R,CIN,P
schus001,Schumaker,Skip,L,R,CIN,2B
smitj004,Smith,Josh,R,R,CIN,P
suare001,Suarez,Eugenio,R,R,CIN,SS
villp001,Villarreal,Pedro,R,R,CIN,P
vottj001,Votto,Joey,L,R,CIN,1B
waldk002,Waldrop,Kyle,L,L,CIN,OF
adama001,Adams,Austin,R,R,CLE,P
aguij001,Aguilar,Jesus,R,R,CLE,1B
allec002,Allen,Cody,R,R,CLE,P
almoa001,Almonte,Abraham,B,R,CLE,OF
andec002,Anderson,Cody,R,R,CLE,P
armss001,Armstrong,Shawn,R,R,CLE,P
atchs001,Atchison,Scott,R,R,CLE,P
avilm001,Aviles,Mike,R,R,CLE,SS
bauet001,Bauer,Trevor,R,R,CLE,P
bourm001,Bourn,Michael,L,R,CLE,OF
branm003,Brantley,Michael,L,L,CLE,OF
carrc003,Carrasco,Carlos,R,R,CLE,P
chenb001,Chen,Bruce,L,L,CLE,P
chisl001,Chisenhall,Lonnie,L,R,CLE,3B
crock001,Crockett,Kyle,L,L,CLE,P
floyg001,Floyd,Gavin,R,R,CLE,P
gomey001,Gomes,Yan,R,R,CLE,C
hagan001,Hagadone,Nick,L,L,CLE,P
hayeb001,Hayes,Brett,R,R,CLE,C
holtt001,Holt,Tyler,R,R,CLE,OF
houst002,House,TJ,R,L,CLE,P
johnc003,Johnson,Chris,R,R,CLE,3B
kipnj001,Kipnis,Jason,L,R,CLE,2B
klubc001,Kluber,Corey,R,R,CLE,P
lee-c004,Lee,C.C.,R,R,CLE,P
lindf001,Lindor,Francisco,B,R,CLE,SS
mansj001,Manship,Jeff,R,R,CLE,P
marcs001,Marcum,Shaun,R,R,CLE,P
martm003,Martinez,Michael,B,R,CLE,2B
mcalz001,McAllister,Zach,R,R,CLE,P
moora001,Moore,Adam,R,R,CLE,C
mossb001,Moss,Brandon,L,R,CLE,OF
murat001,Murata,Toru,L,R,CLE,P
murpd005,Murphy,David,L,L,CLE,OF
perer003,Perez,Roberto,R,R,CLE,C
rabur001,Raburn,Ryan,R,R,CLE,2B
ramij003,Ramirez,Jose,B,R,CLE,2B
rzepm001,Rzepczynski,Marc,L,L,CLE,P
salad001,Salazar,Danny,L,R,CLE,P
sandj002,Sands,Jerry,R,R,CLE,OF
santc002,Santana,Carlos,B,R,CLE,C
shawb001,Shaw,Bryan,B,R,CLE,P
